ALCACHOFA,38008,22319479
BERENJENA,36577,21770896
CALABACIN,36579,21770912
AGUACATE MADURO,28006,18374611
AJO BLANCO GRANEL,15952,15319254
ALCACHOFA BLANCA,9031,90316
BANANA GRANEL,13793,14382832
BONIATO GRANEL,17948,179481
CALABACIN VERDE,9071,90712
CASTAÑA GRANEL,13406,2680775
CEBOLLA BLANCA GRANEL,8355,12043626
CEBOLLA DULCE E. NATUR,26295,17745340
CIRUELA ROJA GRANEL,70,8384653
COCO UNIDAD,22217,52019
KIWI AMARILLO,15341,15117351
KIWI MADURO,28821,18522805
LIMA,270,56515
LIMON GRANEL EROSKI NATUR,38003,22318372
LIMON GRANEL OPORTUNIDAD,37342,22244743
MANDARINA CON HOJA,9710,12749065
MANDARINA E. NATUR,17293,15950769
MANGO EXTRA,33685,8426736
MANZANA FUJI GRANEL,236,2360
MANZANA GOLDEN,1115,11155
MANZANA GOLDEN E. NATUR,11830,1934868
MANZANA GRANNY SMITH GRANEL,1155,11551
MANZANA PINK LADY KG,12693,2388676
MANZANA REINETA GRIS 75-85,3066,11321775
MANZANA ROJA GRANEL,1145,11452
MELÓN PIEL DE SAPO,4111,41111
NARANJA EROSKI NATUR,14912,14897615
NARANJA GRANEL OPORTUNIDAD,36579,21770912
NARANJA ZUMO GRANEL,9711,12781654
PATATA SELECCIÓN GRANEL,8358,12043717
PEPINO BLANCO GRANEL,9940,12862041
PERA BLANQUILLA,1633,16337
PERA CONFER D.O.P. RINCÓN SOTO,1721,17210
PIMIENTO ROJO GRANEL OPORTUNIDAD,36575,21.770.870
PIÑA,14722,5848726
PLÁTANO CANARIAS IGP AHORRO,8376,12069175
PLÁTANO CANARIAS IGP E. NATUR,28422,18439216
REPOLLO,8111,81117
TOMATE BOLA GRANEL,25462,17506619
TOMATE EN RAMA GRANEL,23981,62216
TOMATE PERA,6301,63016
TOMATE PERA GRANEL OPORTUNIDAD,38096,22338727
TOMATE ROSA GRANEL,31306,19511088
TOMATE TIPO RAF,40651,23090186
UVA BLANCA GRANEL,9148,12523650
PATATA OPORTUNIDAD,36576,21770888
PIMIENTO ESPECIAL FREIR GRANEL,28046,18377952
PIMIENTO ROJO GRANEL.,48741,24993636
PIMIENTO VERDE,302,3020
TOMATE RAF OPORTUNIDAD,37005,21980768